역명,노선명
종로3가,1호선
종로3가,3호선
종로3가,5호선
종로5가,1호선
종합운동장,2호선
종합운동장,9호선2~3단계
종합운동장,9호선2단계
주안,경인선
주엽,일산선
죽전,분당선
중계,7호선
중곡,7호선
중동,경인선
중랑,중앙선
중앙,안산선
중앙보훈병원,9호선2~3단계
중앙보훈병원,9호선2단계
중화,7호선
증미,9호선
지제,경부선
지축,3호선
지축,일산선
지평,중앙선
지행,경원선
직산,경부선
진위,경부선
창동,4호선
창동,경원선
창신,6호선
천마산,경춘선
천안,경부선
천왕,7호선
철산,7호선
청구,5호선
청구,6호선
청담,7호선
청라국제도시,공항철도 1호선
청량리(서울시립대입구),1호선
청량리(서울시립대입구),경원선
청량리(지상),경원선
청량리(지하),1호선
청명,분당선
청평,경춘선
초월,경강선
초지,안산선
춘의,7호선
춘천,경춘선
충무로,3호선
충무로,4호선
탄현,경의선
태릉입구,6호선
태릉입구,7호선
태평,분당선
퇴계원,경춘선
파주,경의선
판교,경강선
팔당,중앙선
평내호평,경춘선
평촌,과천선
평택,경부선
풍산,경의선
하계,7호선
학동,7호선
학여울,3호선
한강진,6호선
한남,경원선
한대앞,안산선
한성백제,9호선2~3단계
한성백제,9호선2단계
한양대,2호선
한티,분당선
합정,2호선
합정,6호선
행당,5호선
행신,경의선
혜화,4호선
호구포,수인선
홍대입구,2호선
홍대입구,경의선
홍대입구,공항철도 1호선
홍제,3호선
화계,우이신설선
화곡,5호선
화서,경부선
화전,경의선
화정,일산선
회기,중앙선
회룡,경원선
효창공원앞,6호선
효창공원앞,경의선
흑석(중앙대입구),9호선
강변,2호선
경복궁,3호선
고려대,6호선
공릉,7호선
광나루,5호선
광화문,5호선
광흥창,6호선
교대,2호선
교대,3호선
구의,2호선
군자,5호선
군자,7호선
굽은다리,5호선
낙성대,2호선
남부터미널,3호선
남한산성입구,8호선
대림,2호선
대림,7호선
대흥,6호선
동대문역사문화공원,2호선
동대문역사문화공원,4호선
동대문역사문화공원,5호선
동작,4호선
동작,9호선
마곡나루,9호선
마곡나루,공항철도 1호선
몽촌토성,8호선
미아,4호선
삼성,2호선
상봉,7호선
상봉,중앙선
상월곡,6호선
새절,6호선
서울대입구,2호선
성신여대입구,4호선
성신여대입구,우이신설선
숙대입구,4호선
숭실대입구,7호선
신정,5호선
신창,장항선
아차산,5호선
안암,6호선
양재,3호선
어린이대공원,7호선
오목교,5호선
온수,7호선
온수,경인선
올림픽공원,5호선
올림픽공원,9호선2~3단계
올림픽공원,9호선2단계
왕십리,2호선
왕십리,5호선
왕십리,경원선
용두,2호선
용마산,7호선
월곡,6호선
월드컵경기장,6호선
이촌,4호선
이촌,경원선
잠실,2호선
잠실,8호선
증산,6호선
천호,5호선
천호,8호선
총신대입구,4호선
충정로,2호선
충정로,5호선
한성대입구,4호선
화랑대,6호선
회현,4호선
