역명,2017-11-02,2017-11-03,2017-11-04,2017-11-05,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-11,2017-11-12,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-18,2017-11-19,2017-11-20,2017-11-21,2017-11-22,2017-11-23,2017-11-24,2017-11-25,2017-11-26,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2018-11-01,2018-11-02,2018-11-03,2018-11-04,2018-11-05,2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-11-10,2018-11-11,2018-11-12,2018-11-13,2018-11-14,2018-11-15,2018-11-16,2018-11-17,2018-11-18,2018-11-19,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30
동대문역사문화공원,116503.0,124549.0,111237.0,70816.0,92940.0,95763.0,97600.0,97992.0,103824.0,94797.0,71320.0,90935.0,94374.0,95517.0,96124.0,101043.0,89187.0,66572.0,90775.0,91988.0,94963.0,97140.0,105365.0,85923.0,69741.0,93057.0,94831.0,95423.0,94606.0,99756.0,99052.0,107210.0,91201.0,78234.0,92258.0,94350.0,94616.0,92009.0,104967.0,90817.0,68803.0,90990.0,91888.0,94504.0,95268.0,102968.0,89228.0,69814.0,91261.0,92645.0,92615.0,98478.0,106896.0,90922.0,77226.0,92305.0,92261.0,98345.0,95085.0,101523.0
동대입구,29488.0,29532.0,31461.0,26432.0,29149.0,35042.0,30400.0,33080.0,29217.0,27026.0,23361.0,28325.0,29789.0,29978.0,28775.0,28107.0,21368.0,19469.0,27818.0,29968.0,28667.0,29417.0,31215.0,24375.0,27616.0,28108.0,29038.0,30861.0,28857.0,28592.0,34222.0,29899.0,33002.0,20760.0,29061.0,29829.0,30569.0,28296.0,31871.0,25863.0,16557.0,29412.0,29471.0,28593.0,29013.0,28446.0,26866.0,25647.0,28269.0,29512.0,28761.0,31370.0,28067.0,23798.0,20373.0,29566.0,28616.0,28755.0,29676.0,28596.0
동묘앞,38986.0,41369.0,49352.0,46094.0,40127.0,40707.0,40676.0,40185.0,38758.0,47620.0,45338.0,37259.0,39274.0,38917.0,39201.0,38540.0,43801.0,38738.0,38462.0,39021.0,39182.0,38829.0,41363.0,39302.0,43237.0,38780.0,40703.0,39722.0,38658.0,39508.0,43324.0,44571.0,56967.0,52280.0,40966.0,41700.0,39763.0,33680.0,44159.0,53214.0,45324.0,40543.0,41948.0,42307.0,42603.0,42669.0,51560.0,47749.0,40118.0,41363.0,38802.0,42258.0,42750.0,41489.0,50363.0,41126.0,40049.0,41541.0,40660.0,43420.0
동작,10580.0,10212.0,8471.0,6476.0,9533.0,10473.0,12868.0,9685.0,9218.0,8106.0,6082.0,8845.0,10673.0,8705.0,9187.0,9919.0,6624.0,4933.0,8324.0,8750.0,9057.0,8617.0,9009.0,6716.0,5496.0,9633.0,9272.0,8931.0,9006.0,8667.0,9736.0,11297.0,9422.0,6869.0,10099.0,9401.0,8693.0,9253.0,10030.0,8025.0,5605.0,9378.0,9632.0,9709.0,9211.0,10622.0,7856.0,6108.0,9020.0,10166.0,8942.0,9344.0,9237.0,7325.0,6143.0,9252.0,9051.0,8925.0,9060.0,9374.0
둔촌동,25131.0,26761.0,19636.0,16021.0,24522.0,25296.0,25921.0,24762.0,24992.0,18379.0,14830.0,24746.0,25298.0,25729.0,23988.0,25220.0,18114.0,13858.0,24146.0,24641.0,24690.0,24147.0,25137.0,17516.0,14910.0,24032.0,24422.0,24814.0,23723.0,23895.0,23400.0,24014.0,17771.0,15088.0,23365.0,23249.0,23729.0,22438.0,24185.0,17322.0,13863.0,22867.0,23477.0,24257.0,23353.0,24242.0,16720.0,14041.0,22941.0,23477.0,23502.0,22727.0,23637.0,16640.0,13728.0,22307.0,22594.0,23867.0,22211.0,22967.0
등촌,24144.0,25094.0,17177.0,11224.0,24328.0,24683.0,24280.0,24757.0,25018.0,17110.0,11530.0,24456.0,24669.0,25050.0,23565.0,24327.0,15709.0,10838.0,23925.0,24403.0,24468.0,24403.0,25110.0,15973.0,11328.0,24875.0,25062.0,24199.0,23422.0,22894.0,24342.0,24600.0,15973.0,11500.0,24274.0,24476.0,24217.0,24062.0,25597.0,17072.0,11565.0,25985.0,26244.0,26116.0,25716.0,26328.0,16358.0,11295.0,24143.0,24227.0,24049.0,24715.0,24907.0,16129.0,11146.0,24563.0,24719.0,24551.0,24161.0,24782.0
디지털미디어시티,40338.0,40444.0,24372.0,17587.0,40448.0,41533.0,41308.0,41066.0,40971.0,26500.0,18007.0,39925.0,40730.0,40958.0,39237.0,40266.0,24605.0,16833.0,39720.0,40214.0,40888.0,40395.0,40969.0,25250.0,17195.0,40138.0,41280.0,40737.0,40208.0,41540.0,38887.0,40138.0,24282.0,17008.0,38869.0,39358.0,39087.0,38310.0,40077.0,24188.0,16676.0,38762.0,39657.0,39752.0,39561.0,40034.0,23583.0,16909.0,38908.0,39665.0,39111.0,39788.0,39698.0,23367.0,16841.0,38742.0,39763.0,39422.0,38964.0,39773.0
뚝섬,40409.0,41737.0,28418.0,20164.0,41304.0,41274.0,41692.0,40954.0,41073.0,28266.0,17362.0,38905.0,40708.0,41945.0,40396.0,40788.0,26568.0,15928.0,39560.0,40415.0,40910.0,41756.0,41389.0,22876.0,18354.0,39160.0,40678.0,40876.0,40019.0,40956.0,43817.0,44668.0,29704.0,21048.0,44908.0,44852.0,45047.0,43102.0,45191.0,27167.0,17205.0,42397.0,43560.0,44930.0,44154.0,44750.0,27483.0,17120.0,42592.0,43379.0,43013.0,45544.0,44448.0,27731.0,20740.0,41934.0,43022.0,43385.0,43348.0,44027.0
뚝섬유원지,16824.0,17248.0,17044.0,12740.0,16803.0,16753.0,16369.0,16843.0,15937.0,14808.0,11781.0,15715.0,16772.0,16528.0,15605.0,16100.0,12303.0,9615.0,15326.0,16341.0,15951.0,15733.0,16018.0,12089.0,10396.0,16005.0,16480.0,16048.0,15860.0,16043.0,16715.0,17856.0,19022.0,15648.0,16607.0,16585.0,15672.0,15169.0,17008.0,14817.0,11241.0,16456.0,16254.0,17002.0,16983.0,17068.0,14160.0,11110.0,15670.0,16665.0,15512.0,16367.0,16157.0,12659.0,11235.0,15880.0,15692.0,15965.0,15563.0,16365.0
마곡,17190.0,16355.0,9694.0,6465.0,17690.0,17537.0,17884.0,17597.0,17538.0,9607.0,6257.0,17462.0,17544.0,17820.0,17002.0,17377.0,8865.0,5784.0,17517.0,17544.0,17755.0,17674.0,17877.0,8681.0,6260.0,17540.0,17879.0,17674.0,17811.0,17724.0,16394.0,15949.0,9678.0,6424.0,16202.0,16311.0,16178.0,15340.0,16162.0,9513.0,6211.0,16265.0,16361.0,16321.0,16359.0,16792.0,9373.0,6262.0,15962.0,16214.0,16063.0,16250.0,16324.0,9111.0,6206.0,16052.0,16405.0,16442.0,16215.0,16262.0
