역명,2018-10-01,2018-10-02,2018-10-03,2018-10-04,2018-10-05,2018-10-06,2018-10-07,2018-10-08,2018-10-09,2018-10-10,2018-10-11,2018-10-12,2018-10-13,2018-10-14,2018-10-15,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-20,2018-10-21,2018-10-22,2018-10-23,2018-10-24,2018-10-25,2018-10-26,2018-10-27,2018-10-28,2018-10-29,2018-10-30,2018-10-31,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09,2019-10-10,2019-10-11,2019-10-12,2019-10-13,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-19,2019-10-20,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27,2019-10-28,2019-10-29,2019-10-30
천왕,20515.0,20398.0,11603.0,20312.0,20218.0,13382.0,10249.0,19219.0,10771.0,20357.0,20282.0,20789.0,15062.0,10337.0,20377.0,20278.0,20490.0,20520.0,20904.0,14786.0,10741.0,20134.0,20090.0,20563.0,20448.0,20118.0,15741.0,9981.0,20363.0,20446.0,20556.0,22949.0,22992.0,22840.0,11753.0,21544.0,15228.0,10824.0,22308.0,23811.0,12662.0,22608.0,23677.0,15364.0,11111.0,22930.0,22868.0,22897.0,22964.0,23083.0,15433.0,11280.0,22583.0,23189.0,23039.0,22875.0,23621.0,16151.0,11442.0,22864.0,22985.0,23183.0
천호,87947.0,94483.0,62791.0,91062.0,94432.0,72463.0,59603.0,89947.0,61488.0,91116.0,91959.0,97383.0,82632.0,60547.0,84602.0,91760.0,91944.0,93846.0,96807.0,81293.0,61023.0,87322.0,87944.0,90872.0,91264.0,93811.0,82474.0,56474.0,87886.0,90463.0,91539.0,84708.0,86178.0,86951.0,62927.0,88616.0,77320.0,56867.0,80136.0,90516.0,64161.0,85942.0,91365.0,81497.0,59058.0,81740.0,87389.0,86813.0,87798.0,92569.0,80539.0,59050.0,83982.0,86467.0,86360.0,86742.0,95146.0,81973.0,60140.0,85049.0,86724.0,88441.0
철산,54280.0,57433.0,33961.0,55329.0,56033.0,38591.0,30851.0,54015.0,32270.0,56023.0,55808.0,58609.0,44638.0,30850.0,54520.0,55747.0,56502.0,56099.0,60192.0,45010.0,30595.0,53919.0,54364.0,55367.0,55357.0,56735.0,45399.0,29741.0,54229.0,54887.0,55643.0,54857.0,55392.0,55810.0,31717.0,53839.0,42824.0,28813.0,52030.0,57136.0,33668.0,54819.0,56955.0,42929.0,29660.0,54072.0,54976.0,55665.0,55019.0,57831.0,42826.0,29304.0,53866.0,55236.0,54966.0,54801.0,58098.0,44446.0,30757.0,54035.0,54970.0,55513.0
청구,18266.0,18751.0,11388.0,18745.0,18826.0,11635.0,8462.0,17431.0,11268.0,19340.0,18837.0,19110.0,13095.0,9215.0,18434.0,18853.0,19376.0,19650.0,19350.0,13050.0,9118.0,18294.0,18695.0,19233.0,19196.0,18482.0,13366.0,8291.0,18679.0,18976.0,18956.0,18979.0,19139.0,19386.0,12050.0,18282.0,12938.0,8655.0,18643.0,19381.0,12199.0,19591.0,20497.0,12640.0,8963.0,18782.0,19087.0,19637.0,19567.0,19322.0,13119.0,8868.0,18709.0,18940.0,19266.0,19386.0,19877.0,13355.0,9095.0,18910.0,18889.0,19373.0
청담,50905.0,52451.0,22700.0,53203.0,52406.0,29263.0,19059.0,46634.0,20896.0,52843.0,52466.0,53502.0,35372.0,20190.0,51166.0,51534.0,52048.0,52900.0,52366.0,32724.0,19437.0,51355.0,51495.0,53137.0,52374.0,50957.0,34199.0,19974.0,51355.0,52772.0,52978.0,49625.0,51429.0,50803.0,22311.0,46226.0,30548.0,18495.0,48215.0,51950.0,23170.0,50875.0,51722.0,33224.0,18832.0,50053.0,50900.0,51067.0,50427.0,50866.0,31588.0,18952.0,50194.0,50876.0,51943.0,51364.0,51986.0,32112.0,18482.0,51511.0,52635.0,51589.0
청량리,89582.0,94684.0,81420.0,92732.0,90009.0,83528.0,80602.0,97215.0,80951.0,91427.0,91690.0,99605.0,100229.0,77701.0,88526.0,92657.0,92749.0,94957.0,100752.0,100342.0,78778.0,92253.0,88013.0,92817.0,97323.0,94314.0,105976.0,74559.0,91742.0,93096.0,94604.0,89757.0,90050.0,89156.0,82569.0,96222.0,99935.0,73951.0,78975.0,95918.0,86858.0,90382.0,93982.0,89717.0,68804.0,87503.0,90635.0,88438.0,90802.0,96156.0,97233.0,73768.0,88536.0,89344.0,89352.0,89965.0,101258.0,102190.0,76689.0,90921.0,90914.0,92421.0
충무로,76752.0,81047.0,38260.0,81464.0,79387.0,45409.0,32672.0,78417.0,37316.0,79979.0,81388.0,82684.0,52738.0,34446.0,79466.0,81769.0,81510.0,83982.0,82943.0,56978.0,32691.0,77595.0,78724.0,81326.0,83004.0,80463.0,60145.0,30850.0,78818.0,81109.0,82766.0,78041.0,78124.0,80399.0,43165.0,76815.0,51287.0,31028.0,74447.0,81690.0,40773.0,78650.0,80293.0,50506.0,33655.0,76745.0,79086.0,78307.0,78114.0,78661.0,49598.0,30740.0,76330.0,78130.0,77904.0,80122.0,82207.0,54437.0,33098.0,78518.0,80973.0,80893.0
충정로,37766.0,39392.0,18165.0,39331.0,39314.0,21442.0,15772.0,35586.0,15948.0,39559.0,39285.0,40089.0,23024.0,15582.0,38855.0,39374.0,39865.0,40223.0,39070.0,22934.0,15257.0,38275.0,39195.0,39704.0,39415.0,38895.0,23796.0,16195.0,38337.0,39701.0,39877.0,37507.0,38556.0,39745.0,22315.0,34648.0,24290.0,15587.0,37035.0,39084.0,20658.0,38199.0,37602.0,22873.0,15223.0,37893.0,38894.0,38981.0,38496.0,38152.0,23972.0,15109.0,37553.0,38160.0,39229.0,38589.0,39048.0,23976.0,16418.0,37766.0,38606.0,39095.0
태릉입구,34779.0,37212.0,22755.0,36313.0,33423.0,23258.0,19509.0,34915.0,21582.0,35599.0,35827.0,35425.0,27216.0,21448.0,35135.0,36180.0,35673.0,36636.0,35422.0,27599.0,20575.0,34519.0,35492.0,35537.0,36494.0,34597.0,28329.0,19214.0,34661.0,35440.0,36396.0,36265.0,36416.0,38260.0,21773.0,35076.0,26724.0,21334.0,33896.0,36641.0,23270.0,37020.0,36466.0,27928.0,20979.0,35497.0,35996.0,36227.0,36224.0,35216.0,27865.0,21305.0,34736.0,35715.0,35753.0,36641.0,36387.0,28214.0,21585.0,36189.0,36610.0,36302.0
하계,43801.0,46382.0,27642.0,45088.0,44135.0,31217.0,25832.0,42830.0,26923.0,45059.0,44450.0,45539.0,36176.0,26847.0,44799.0,45651.0,45375.0,45119.0,45761.0,42422.0,32473.0,44100.0,44598.0,44855.0,44597.0,45114.0,35810.0,24107.0,43967.0,46296.0,45305.0,42909.0,44963.0,45107.0,24952.0,42379.0,33488.0,24739.0,41213.0,46240.0,26461.0,44074.0,44995.0,35615.0,26067.0,43064.0,45768.0,44205.0,43826.0,43914.0,35318.0,25087.0,42611.0,45171.0,44671.0,43765.0,44456.0,36034.0,25985.0,42810.0,45583.0,45260.0
