"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20210301","6호선","상월곡(한국과학기술연구원)","2625","2480","20210304",""
"20210301","6호선","돌곶이","3661","3591","20210304",""
"20210301","6호선","석계","5023","5320","20210304",""
"20210301","6호선","태릉입구","2295","2510","20210304",""
"20210301","6호선","화랑대(서울여대입구)","3727","3108","20210304",""
"20210301","6호선","봉화산(서울의료원)","3074","2986","20210304",""
"20210301","7호선","장암","652","354","20210304",""
"20210301","7호선","도봉산","3082","3761","20210304",""
"20210301","7호선","수락산","5225","5084","20210304",""
"20210301","7호선","마들","4807","4626","20210304",""
"20210301","7호선","노원","8873","8867","20210304",""
"20210301","7호선","중계","5130","4748","20210304",""
"20210301","7호선","하계","6818","6808","20210304",""
"20210301","7호선","공릉(서울과학기술대)","5038","5202","20210304",""
"20210301","7호선","태릉입구","3405","3259","20210304",""
"20210301","7호선","먹골","4288","4446","20210304",""
"20210301","7호선","중화","4470","4527","20210304",""
"20210301","7호선","상봉(시외버스터미널)","7492","7130","20210304",""
"20210301","7호선","면목","6485","6605","20210304",""
"20210301","7호선","사가정","7085","7217","20210304",""
"20210301","7호선","용마산(용마폭포공원)","2530","2480","20210304",""
"20210301","7호선","중곡","3737","3939","20210304",""
"20210301","7호선","군자(능동)","5948","4912","20210304",""
"20210301","7호선","어린이대공원(세종대)","4976","4984","20210304",""
"20210301","7호선","건대입구","6411","6642","20210304",""
"20210301","7호선","뚝섬유원지","2818","2756","20210304",""
"20210301","7호선","청담","5368","5703","20210304",""
"20210301","7호선","강남구청","4402","4775","20210304",""
"20210301","7호선","학동","5141","5468","20210304",""
"20210301","7호선","논현","5443","5836","20210304",""
"20210301","7호선","반포","2504","2435","20210304",""
"20210301","7호선","고속터미널","10359","5911","20210304",""
"20210301","7호선","내방","4201","4510","20210304",""
"20210301","7호선","이수","6053","5925","20210304",""
"20210301","7호선","남성","4343","4448","20210304",""
"20210301","7호선","숭실대입구(살피재)","4446","4800","20210304",""
"20210301","7호선","상도","3916","3976","20210304",""
"20210301","7호선","장승배기","3885","3888","20210304",""
"20210301","7호선","신대방삼거리","5911","6148","20210304",""
"20210301","7호선","보라매","3060","3095","20210304",""
"20210301","7호선","대림(구로구청)","4578","4263","20210304",""
"20210301","7호선","남구로","5561","5598","20210304",""
"20210301","7호선","가산디지털단지","8676","8085","20210304",""
"20210301","7호선","철산","7799","7908","20210304",""
"20210301","7호선","광명사거리","9389","9330","20210304",""
"20210301","7호선","천왕","3591","3440","20210304",""
"20210301","7호선","온수(성공회대입구)","3108","3081","20210304",""
"20210301","7호선","까치울","2681","2712","20210304",""
"20210301","7호선","부천종합운동장","1627","1429","20210304",""
"20210301","7호선","춘의","2779","2820","20210304",""
"20210301","7호선","신중동","5193","5203","20210304",""
"20210301","7호선","부천시청","5288","5241","20210304",""
"20210301","7호선","상동","5198","5048","20210304",""
"20210301","7호선","삼산체육관","1714","1548","20210304",""
"20210301","7호선","굴포천","3499","3574","20210304",""
"20210301","7호선","부평구청","3835","3382","20210304",""
"20210301","8호선","암사","7396","7194","20210304",""
"20210301","8호선","천호(풍납토성)","7213","8123","20210304",""
"20210301","8호선","강동구청","3576","3825","20210304",""
"20210301","8호선","몽촌토성(평화의문)","2226","2397","20210304",""
"20210301","8호선","잠실(송파구청)","8319","8891","20210304",""
